GOLD Annotated?	Index	Sentence	Entity	Character Offsets	GOLD Flat Grounding	GOLD Flat Grounding Score	GOLD Concept Grounding	GOLD Concept Score	GOLD Process Grounding	GOLD Process Score	GOLD Property Grounding	GOLD Property Score
	184	Friday 's statement said poor rains and high global commodity prices had triggered food insecurity in the huge Horn of Afric country last year , but lamented that there had been only a `` limited response '' from the international community .	food insecurity	Interval(83, 98)	wm/concept/causal_factor/food_insecurity/	1.0000004	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/conflict/	0.5429774	wm_compositional/property/security	1.0
	185	In Mexico , high fuel prices and a weak local currency resulted in an increase in production costs and selling prices of staple maize tortillas which increased for the third consecutive month in March .	high fuel prices	Interval(12, 28)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/cost_of_transportation	0.8355894	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/fuel	0.8711413	wm_compositional/process/economic/consumption	0.55300707	wm_compositional/property/price	1.0
	185	In Mexico , high fuel prices and a weak local currency resulted in an increase in production costs and selling prices of staple maize tortillas which increased for the third consecutive month in March .	selling prices of staple maize tortillas	Interval(103, 143)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/crop_price	0.8383033	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.627718	None	None	None	None
	186	Another example is the response of the UN Offi ce for West Africa (UNOWA) to the crisis in Guinea in 2008 following the death of President Lansana Cont? and the takeover of the country by a military junta.	the death	Interval(116, 125)	wm/concept/causal_factor/health_and_life/death	0.8833587	wm_compositional/concept/causal_factor/health_and_life/death	0.7663121	wm_compositional/process/conflict/attack	0.5003096	None	None
	186	Another example is the response of the UN Offi ce for West Africa (UNOWA) to the crisis in Guinea in 2008 following the death of President Lansana Cont? and the takeover of the country by a military junta.	the crisis	Interval(77, 87)	wm/concept/causal_factor/crisis_and_disaster/	0.9143274	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/	0.99999994	wm_compositional/process/economic/	0.7357197	None	None
	187	The government in Asmara has called on the UN to intervene over the recent attacks.	The government in Asmara	Interval(0, 24)	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/process/economic/	0.6576553	None	None
	187	The government in Asmara has called on the UN to intervene over the recent attacks.	called on the UN to intervene over the recent attacks	Interval(29, 82)	wm/concept/causal_factor/social_and_political/conflict/attack	0.74138445	None	None	None	None	None	None
	188	19 that our empirical specification controls for a number of factors, including direct effects of extension services, we argue that there is substantial complementarity observed in our dataset, particularly between fertilizer and improved seeds.	direct effects of extension services	Interval(80, 116)	wm/concept/causal_factor/social_and_political/basic_services	0.78810865	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide veterinary service	0.807213	wm_compositional/process/management/	0.5935305	None	None
	188	19 that our empirical specification controls for a number of factors, including direct effects of extension services, we argue that there is substantial complementarity observed in our dataset, particularly between fertilizer and improved seeds.	effects of extension services	Interval(87, 116)	wm/concept/causal_factor/social_and_political/basic_services	0.76812625	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide veterinary service	0.807213	wm_compositional/process/management/	0.5935305	None	None
	189	But many investors are also moving into infrastructure, agriculture and telecommunications markets, helping to rebalance African growth more broadly.	markets	Interval(91, 98)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/	1.0000002	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.8683015	wm_compositional/process/economic/	0.6246313	None	None
	189	But many investors are also moving into infrastructure, agriculture and telecommunications markets, helping to rebalance African growth more broadly.	African growth	Interval(121, 135)	wm/concept/causal_factor/trend	0.59283847	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/	0.64329344	wm_compositional/process/economic/	0.64329344	None	None
	190	`` Scientists can build on the Durban agreements for REDD + to clearly describe adaptation and mitigation strategies that span agriculture and forestry and improve food security and livelihoods .	adaptation and mitigation strategies	Interval(80, 116)	wm/concept/causal_factor/environmental/climate_change_mitigation	0.82382035	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide farming tool	0.5794295	wm_compositional/process/management/adaptation	0.99999994	None	None
	190	`` Scientists can build on the Durban agreements for REDD + to clearly describe adaptation and mitigation strategies that span agriculture and forestry and improve food security and livelihoods .	livelihoods	Interval(182, 193)	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood/	1.0000004	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/livelihood	0.6308247	wm_compositional/process/management/conservation	0.55293226	None	None
	191	adequate availabilities from a bumper 2017 output kept prices stable in China, as well as India, where improved market supplies were also associated with the increased quantities sold at subsidized prices through the open Market Sale Scheme.	subsidized prices	Interval(187, 204)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	0.8221705	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.58985335	None	None	wm_compositional/property/price	1.0
	191	adequate availabilities from a bumper 2017 output kept prices stable in China, as well as India, where improved market supplies were also associated with the increased quantities sold at subsidized prices through the open Market Sale Scheme.	the open Market	Interval(213, 228)	wm/concept/causal_factor/access/market_access	0.8223491	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	1.0000002	wm_compositional/process/economic/	0.5867855	None	None
	192	"This is due to the decline in the price of gold.	to the decline in the price of gold	Interval(13, 48)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/crop_price	0.7468492	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/economic_crisis/	0.5853653	wm_compositional/process/economic/	0.5843388	None	None
	192	"This is due to the decline in the price of gold.	This is due to the decline in the price of gold	Interval(1, 48)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/food_price	0.7496868	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/economic_crisis/	0.5853653	wm_compositional/process/economic/	0.5843388	None	None
	193	He also said that the Ministry's digital diplomacy needed to clarify the misconceptions directed against the nation's foreign policy directions and national development goals.	directed against the nation's foreign policy directions and national development goals	Interval(88, 174)	wm/concept/causal_factor/interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.82512444	None	None	None	None	None	None
	193	He also said that the Ministry's digital diplomacy needed to clarify the misconceptions directed against the nation's foreign policy directions and national development goals.	directions and national development goals	Interval(133, 174)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.7744985	wm_compositional/concept/causal_factor/entity/organization	0.6279271	wm_compositional/process/management/development	1.0000004	None	None
	194	One major factor contributing to food insecurity in South Sudan is the absence of well-functioning markets in most of the country due to inadequate infrastructure ( roads , transport , warehousing , telecommunications , and physical market structures ) and low levels of marketed surplus .	One major factor contributing to food insecurity in South Sudan	Interval(0, 63)	wm/concept/causal_factor/food_insecurity/food_unavailability	0.8417458	None	None	None	None	None	None
	195	Livelihoods have been decimated by the crisis with limited access to land , reduced harvests , fear of violence preventing cultivation of new fields , loss of livestock , loss of assets , and limited investments in market-based employment opportunities , ever-deepening poverty , vulnerability and food insecurity making it increasingly difficult for affected populations to recover .	crisis with limited access to land	Interval(39, 73)	wm/concept/causal_factor/access/market_access	0.7736754	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/	0.99999994	wm_compositional/process/economic/	0.7357197	None	None
	195	Livelihoods have been decimated by the crisis with limited access to land , reduced harvests , fear of violence preventing cultivation of new fields , loss of livestock , loss of assets , and limited investments in market-based employment opportunities , ever-deepening poverty , vulnerability and food insecurity making it increasingly difficult for affected populations to recover .	Livelihoods	Interval(0, 11)	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood/	1.0000004	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/livelihood	0.6308247	wm_compositional/process/management/conservation	0.55293226	None	None
	196	Education is an important measure of human capital due to its importance to secure employment and skills for managing scarce resources (Saenz and Morales 2005).	to its importance	Interval(55, 72)	wm/concept/causal_factor/interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.7578874	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.6067064	wm_compositional/process/management/conservation	0.5475485	None	None
	196	Education is an important measure of human capital due to its importance to secure employment and skills for managing scarce resources (Saenz and Morales 2005).	Education is an important measure of human capital due to its importance to secure employment and skills for managing scarce resources	Interval(0, 134)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation	0.8385951	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/assets	0.6032305	wm_compositional/process/economic/	0.5594524	None	None
	197	He called on African countries to give due attention to political stability, strengthening vocational education and better training and skill transfer among others.	political stability, strengthening vocational education and better training	Interval(56, 131)	wm/concept/causal_factor/interventions/teaching,_training_and_public_awareness/	0.8217553	wm_compositional/concept/causal_factor/intervention/institutional support/	0.5561534	None	None	None	None
	197	He called on African countries to give due attention to political stability, strengthening vocational education and better training and skill transfer among others.	political stability, strengthening	Interval(56, 90)	wm/concept/causal_factor/social_and_political/political/political_instability	0.7805303	wm_compositional/concept/causal_factor/intervention/institutional support/	0.5561534	None	None	None	None
	198	Conflict-related sexual violence is a serious concern.	a serious concern	Interval(36, 53)	wm/concept/causal_factor/social_and_political/conflict/tension	0.6326018	wm_compositional/concept/causal_factor/social_and_political/security/physical_insecurity	0.6656872	wm_compositional/process/conflict/	0.5806066	None	None
	199	Temperatures are steadily rising in Ethiopia, and are now damaging the crop.	Temperatures	Interval(0, 12)	wm/concept/causal_factor/environmental/meteorologic/temperature	0.80970955	wm_compositional/concept/causal_factor/environment/temperature	0.86628217	None	None	None	None
	199	Temperatures are steadily rising in Ethiopia, and are now damaging the crop.	the crop	Interval(67, 75)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/crop_failure	0.8691487	wm_compositional/concept/causal_factor/indicator_and_reported_property/agriculture/Crop Production	1.0000004	wm_compositional/process/agriculture/harvesting	0.59650046	None	None
	200	"Rising food insecurity and undernourishment are a big concern, considering that 355 million in Africa were moderately or severely food insecure in 2015," he said.	insecurity	Interval(13, 23)	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	0.8193162	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/conflict/	0.5429774	wm_compositional/property/security	1.0
	200	"Rising food insecurity and undernourishment are a big concern, considering that 355 million in Africa were moderately or severely food insecure in 2015," he said.	a big concern	Interval(49, 62)	wm/concept/causal_factor/economic_and_commerce/economic_activity/competition	0.51505136	wm_compositional/concept/causal_factor/social_and_political/security/physical_insecurity	0.6656872	wm_compositional/process/conflict/	0.5806066	None	None
	201	The death of many livestock in Ethiopia , as well as in Somalia where 3.3 million people are in need of food after three years with too little rain , has caused a breakdown in pastoral livelihoods , contributing to soaring hunger levels and alarming increases in malnutrition rates , according to the UN Food and Agricultural Organization ( FAO ) .	death of many livestock in Ethiopia	Interval(4, 39)	wm/concept/causal_factor/health_and_life/death	0.7581848	wm_compositional/concept/causal_factor/agriculture/livestock	0.90724725	wm_compositional/process/agriculture/	0.6849187	None	None
	201	The death of many livestock in Ethiopia , as well as in Somalia where 3.3 million people are in need of food after three years with too little rain , has caused a breakdown in pastoral livelihoods , contributing to soaring hunger levels and alarming increases in malnutrition rates , according to the UN Food and Agricultural Organization ( FAO ) .	malnutrition rates	Interval(263, 281)	wm/concept/causal_factor/crisis_and_disaster/famine	0.8116912	wm_compositional/concept/causal_factor/health_and_life/health	0.8358523	wm_compositional/process/environment/climate_change	0.54006267	None	None
	202	Designing prudent foreign policy, this government has strongly encouraged the principle of addressing issues of common interest on the basis of constructive dialogue in a way that promotes mutual benefits.	a way that promotes mutual benefits	Interval(169, 204)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_health_information_campaign	0.7055611	wm_compositional/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.67564964	wm_compositional/process/migration/immigration	0.5742893	None	None
	202	Designing prudent foreign policy, this government has strongly encouraged the principle of addressing issues of common interest on the basis of constructive dialogue in a way that promotes mutual benefits.	mutual benefits	Interval(189, 204)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_assets	0.72293746	wm_compositional/concept/causal_factor/intervention/provision of goods and services/health/	0.66388685	wm_compositional/process/access/access	0.50335723	None	None
	203	Even if a cyclone does not develop in the region, heavy rainfall is likely and may trigger localized flooding for coastal areas in Mozambique and parts of northern Madagascar.	heavy rainfall	Interval(50, 64)	wm/concept/causal_factor/environmental/meteorologic/precipitation/rainfall	0.82609594	wm_compositional/concept/causal_factor/indicator_and_reported_property/weather/rainfall	1.0000001	wm_compositional/process/environment/erosion	0.5368698	None	None
	203	Even if a cyclone does not develop in the region, heavy rainfall is likely and may trigger localized flooding for coastal areas in Mozambique and parts of northern Madagascar.	localized flooding	Interval(91, 109)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/flooding	0.7347992	wm_compositional/concept/causal_factor/environment/precipitation/flooding	0.77724826	wm_compositional/process/environment/erosion	0.55083275	None	None
	204	Despite an increase in rains in late November, below-average precipitation over the past several weeks has led to developing dryness and strong moisture deficits in northern Zimbabwe.	an increase	Interval(8, 19)	wm/concept/causal_factor/trend	0.8918436	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/revenue	0.6579353	wm_compositional/process/economic/consumption	0.5818051	None	None
	204	Despite an increase in rains in late November, below-average precipitation over the past several weeks has led to developing dryness and strong moisture deficits in northern Zimbabwe.	developing	Interval(114, 124)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.6922746	wm_compositional/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.5904772	wm_compositional/process/management/development	0.8099768	None	None
	205	Figure 2 confirms that, on a broader scale, violent civil conflict events on the African continent were more frequent in countries that were also harder hit by climate- and weather-related disasters.18 The total number of people affected by such disasters in 20002013 is significantly correlated with the total number of violent civil conflict events (p = 0.33) as well as the number of fatalities in these events (p = 0.33).19 Of course, correlation does not imply causality.	by such disasters in 20002013	Interval(238, 267)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/	0.79927516	None	None	None	None	None	None
	205	Figure 2 confirms that, on a broader scale, violent civil conflict events on the African continent were more frequent in countries that were also harder hit by climate- and weather-related disasters.18 The total number of people affected by such disasters in 20002013 is significantly correlated with the total number of violent civil conflict events (p = 0.33) as well as the number of fatalities in these events (p = 0.33).19 Of course, correlation does not imply causality.	of people affected by such disasters in 20002013	Interval(219, 267)	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7661045	wm_compositional/concept/causal_factor/entity/person_and_group/population	0.8229591	wm_compositional/process/migration/immigration	0.55056083	None	None
	206	Apparently, the government has integrated the prevention and control of child labour in its various development polices and plans.	the government	Interval(12, 26)	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/process/economic/	0.6576553	None	None
	206	Apparently, the government has integrated the prevention and control of child labour in its various development polices and plans.	the prevention and control of child labour	Interval(42, 84)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/infant_and_young_child_feeding_support	0.7593971	wm_compositional/concept/causal_factor/intervention/provision of goods and services/health/vector control	0.7986946	wm_compositional/process/management/	0.52684903	None	None
	207	Tens of thousands already have trekked to neighboring Kenya and Ethiopia, hoping to get aid in refugee camps.	trekked to neighboring Kenya and Ethiopia, hoping to get aid in refugee camps	Interval(31, 108)	wm/concept/causal_factor/social_and_political/migration/emigration	0.7613456	None	None	None	None	None	None
	207	Tens of thousands already have trekked to neighboring Kenya and Ethiopia, hoping to get aid in refugee camps.	trekked to neighboring Kenya and Ethiopia, hoping to get aid in refugee camps.	Interval(31, 109)	wm/concept/causal_factor/social_and_political/migration/emigration	0.7613456	None	None	None	None	None	None
	208	Some refugees from Eastern , Central and Western Equatoria also reported leaving the country due to hunger , as the prolonged conflict has meant they have been unable to cultivate their land .	hunger	Interval(100, 106)	wm/concept/causal_factor/crisis_and_disaster/famine	0.7456899	wm_compositional/concept/causal_factor/condition/famine	0.85013807	None	None	None	None
	208	Some refugees from Eastern , Central and Western Equatoria also reported leaving the country due to hunger , as the prolonged conflict has meant they have been unable to cultivate their land .	leaving	Interval(73, 80)	wm/concept/causal_factor/social_and_political/migration/emigration	0.7147242	None	None	wm_compositional/process/migration/emigration	0.75588983	None	None
	209	The successful establishment of a Continental Free Trade Area in Africa would lead to intra-African trade rising to 22% of total African Trade and, in line with similar efforts worldwide, would add approximately US$ 1 trillion to the global economy.	would lead to intra-African trade rising to 22% of total African Trade	Interval(72, 142)	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/export/food_export	0.7087677	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/labor_market	0.6075431	wm_compositional/process/economic/trade	0.99999994	None	None
	209	The successful establishment of a Continental Free Trade Area in Africa would lead to intra-African trade rising to 22% of total African Trade and, in line with similar efforts worldwide, would add approximately US$ 1 trillion to the global economy.	to intra-African trade rising to 22% of total African Trade	Interval(83, 142)	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/export/food_export	0.720198	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/labor_market	0.6075431	wm_compositional/process/economic/trade	0.99999994	None	None
	210	In deficit areas, such as Cayes and Fonds des negres, sorghum prices increased respectively by 12 and nine percent from last month due to a slight increase in transportation cost from the production areas.	a slight increase	Interval(138, 155)	wm/concept/causal_factor/trend	0.849532	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/revenue	0.6579353	wm_compositional/process/economic/consumption	0.5818051	None	None
	210	In deficit areas, such as Cayes and Fonds des negres, sorghum prices increased respectively by 12 and nine percent from last month due to a slight increase in transportation cost from the production areas.	prices	Interval(62, 68)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	0.9282232	wm_compositional/concept/causal_factor/agriculture/crop	0.75615895	None	None	wm_compositional/property/price	1.0
	211	Addis Ababa Youth Federation President Yonas Aregay for his part said that in order to continue the prime Minister's vision, the youth are involved tree planting, and giving voluntary service in education, cleaning and other services.	involved tree planting, and giving voluntary service in education, cleaning	Interval(139, 214)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/newborn_and_childhood_essential_health_care_services	0.7884914	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide cash	0.6112291	None	None	None	None
	211	Addis Ababa Youth Federation President Yonas Aregay for his part said that in order to continue the prime Minister's vision, the youth are involved tree planting, and giving voluntary service in education, cleaning and other services.	voluntary service in education	Interval(174, 204)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/provision_of_non_formal_education	0.8158087	wm_compositional/concept/causal_factor/intervention/provision of goods and services/education/	1.0000001	wm_compositional/process/training	0.5639298	None	None
	212	Section 3 discusses the literature on vulnerability measurement and how the estimated impact of weather and prices on consumption can be used to measure vulnerability to poverty.	of weather and prices	Interval(93, 114)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	0.738053	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.58985335	None	None	wm_compositional/property/price	1.0
	212	Section 3 discusses the literature on vulnerability measurement and how the estimated impact of weather and prices on consumption can be used to measure vulnerability to poverty.	on consumption	Interval(115, 129)	wm/concept/causal_factor/food_security/food_utilization	0.7761535	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/fuel	0.5466125	wm_compositional/process/economic/consumption	1.0000005	None	None
	213	If we invest in the region we can boost development and reduce insecurity .	development	Interval(40, 51)	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.9328667	wm_compositional/concept/causal_factor/entity/organization	0.6279271	wm_compositional/process/management/development	1.0000004	None	None
	213	If we invest in the region we can boost development and reduce insecurity .	insecurity	Interval(63, 73)	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	0.8193162	wm_compositional/concept/causal_factor/social_and_political/security/physical_insecurity	0.85224354	wm_compositional/process/conflict/	0.5429774	wm_compositional/property/security	1.0
	214	People are passing us over, leaving us in the dust," said Yusuf, but he felt no resentment towards the Somalis fleeing the drought.	the drought	Interval(119, 130)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm_compositional/concept/causal_factor/environment/precipitation/drought	1.0000001	wm_compositional/process/environment/climate_change	0.56830245	None	None
	214	People are passing us over, leaving us in the dust," said Yusuf, but he felt no resentment towards the Somalis fleeing the drought.	no resentment	Interval(77, 90)	wm/concept/causal_factor/social_and_political/conflict/tension	0.62321824	wm_compositional/concept/causal_factor/social_and_political/security/physical_insecurity	0.58826774	wm_compositional/process/conflict/	0.5173496	None	None
	215	I created jobs for two people and life started to be good.	I created jobs for two people and life started to be good	Interval(0, 57)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.8037367	wm_compositional/concept/causal_factor/entity/person_and_group/population	0.8229591	wm_compositional/process/migration/immigration	0.55056083	None	None
	215	I created jobs for two people and life started to be good.	I created jobs for two people and life started to be good	Interval(0, 57)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.8037367	wm_compositional/concept/causal_factor/entity/person_and_group/population	0.8229591	wm_compositional/process/migration/immigration	0.55056083	None	None
	216	Climate variability and climate change elements integrated with transforming role of the interacting driving forces of population increase, income growth, disease and pests, urbanization, and globalization on food yield, markets, and consumption have direct impacts on both food production and food security (Parry et al., 2004; Von Braun, 2007).	direct impacts on both food production and food security (Parry et al.,	Interval(251, 322)	wm/concept/causal_factor/food_security/	0.8632947	None	None	None	None	None	None
	216	Climate variability and climate change elements integrated with transforming role of the interacting driving forces of population increase, income growth, disease and pests, urbanization, and globalization on food yield, markets, and consumption have direct impacts on both food production and food security (Parry et al., 2004; Von Braun, 2007).	impacts on both food production and food security (Parry et al.,	Interval(258, 322)	wm/concept/causal_factor/food_security/	0.8933878	None	None	None	None	None	None
	217	The model results also show, however, that rapid non-agricultural growth can produce similar reductions in overall poverty.	rapid non-agricultural growth	Interval(43, 72)	wm/concept/causal_factor/trend	0.67946184	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/	0.64329344	wm_compositional/process/economic/	0.64329344	None	None
	217	The model results also show, however, that rapid non-agricultural growth can produce similar reductions in overall poverty.	overall poverty	Interval(107, 122)	wm/concept/causal_factor/economic_and_commerce/poverty	0.79779613	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/economic_crisis/poverty	0.99999994	wm_compositional/process/economic/	0.6394978	None	None
	218	Most recently , there has been reports of population movement in Wau due to conflict between pastoralists and farmers which led to the displacement of unarmed civilians to rural areas of Umbili and Kuarjina .	conflict	Interval(76, 84)	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm_compositional/concept/causal_factor/social_and_political/security/conflict/	1.0000001	wm_compositional/process/conflict/	1.0000001	None	None
	219	Trachoma is an infectious eye disease that is a leading cause of blindness and suffering in the poorest regions of the world.	Trachoma is an infectious eye disease that is a leading cause of blindness and suffering in the poorest regions of the world.	Interval(0, 125)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/communicable_disease_outbreak_control	0.75269425	wm_compositional/concept/causal_factor/health_and_life/disease/	1.0000001	None	None	None	None
	219	Trachoma is an infectious eye disease that is a leading cause of blindness and suffering in the poorest regions of the world.	of blindness and suffering in the poorest regions of the world	Interval(62, 124)	wm/concept/causal_factor/economic_and_commerce/poverty	0.74698025	wm_compositional/concept/causal_factor/health_and_life/	0.5749886	None	None	None	None
	220	The government wants to reduce agriculture to 36% of GDP over the next 5 years.	The government	Interval(0, 14)	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/process/economic/	0.6576553	None	None
	220	The government wants to reduce agriculture to 36% of GDP over the next 5 years.	agriculture	Interval(31, 42)	wm/concept/causal_factor/agriculture/	1.0000002	wm_compositional/concept/causal_factor/agriculture/	1.0000002	wm_compositional/process/agriculture/	1.0000002	None	None
	221	The warming impact of the 2016 El Nino weather pattern had already caused drought in the East and Horn of Africa region, as well as hitting 400 million people globally.	pattern	Interval(47, 54)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/vector_control	0.42607874	wm_compositional/concept/causal_factor/indicator_and_reported_property/weather/	1.0000001	None	None	None	None
	221	The warming impact of the 2016 El Nino weather pattern had already caused drought in the East and Horn of Africa region, as well as hitting 400 million people globally.	drought	Interval(74, 81)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm_compositional/concept/causal_factor/environment/precipitation/drought	1.0000001	wm_compositional/process/environment/climate_change	0.56830245	None	None
	222	They said that the terrorism trials should be monitored by diplomats due to lack of transparency, noting that the times and locations of the trials have been changed at the last minute.	They said that the terrorism trials should be monitored by diplomats due to lack of transparency,	Interval(0, 97)	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7720319	None	None	None	None	None	None
	222	They said that the terrorism trials should be monitored by diplomats due to lack of transparency, noting that the times and locations of the trials have been changed at the last minute.	They said that the terrorism trials should be monitored by diplomats due to lack of transparency	Interval(0, 96)	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7720319	None	None	None	None	None	None
	223	Two emergency meetings organized by FAO in Rome on 25 July and 18 August helped set the stage for today 's African Union pledging conference , raising international awareness of the importance of not only providing food assistance but also supporting food producers and getting food production in the Horn back up and running as soon as possible .	Two emergency meetings organized by FAO in Rome on 25 July and 18 August	Interval(0, 72)	wm/concept/causal_factor/interventions/teaching,_training_and_public_awareness/training_of_community_sourced_emergency_or_temporary_teachers	0.7023229	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/crisis	0.763657	wm_compositional/process/evacuation	0.6465521	None	None
	224	On April 4, senior officials from USAID, other donor agencies, the Intergovernmental Authority on Development, the African Union Commission, African governments, and U.N. agencies announced a new partnership the Global Alliance for Action for Drought Resilience and Growth to strengthen coordination between development partners, increase economic growth, build new partnerships with the private sector, and reduce food insecurity in the Horn of Africa.	Drought	Interval(243, 250)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm_compositional/concept/causal_factor/environment/precipitation/drought	1.0000001	wm_compositional/process/environment/climate_change	0.56830245	None	None
	224	On April 4, senior officials from USAID, other donor agencies, the Intergovernmental Authority on Development, the African Union Commission, African governments, and U.N. agencies announced a new partnership the Global Alliance for Action for Drought Resilience and Growth to strengthen coordination between development partners, increase economic growth, build new partnerships with the private sector, and reduce food insecurity in the Horn of Africa.	coordination	Interval(287, 299)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/assessment_and_triage_of_health_facilities	0.51178104	wm_compositional/concept/causal_factor/intervention/humanitarian assistance	0.52484727	None	None	None	None
	225	You can imagine, if this much people could cross the border by an individual trafficker; there is no doubt that the regime is making money from that.	the regime	Interval(112, 122)	wm/concept/causal_factor/social_and_political/political/political_instability	0.7034188	wm_compositional/concept/causal_factor/social_and_political/political/political_instability	0.7105078	None	None	None	None
	225	You can imagine, if this much people could cross the border by an individual trafficker; there is no doubt that the regime is making money from that.	no doubt that the regime is making money from that	Interval(98, 148)	wm/concept/causal_factor/health_and_life/basic_needs	0.76985806	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.578193	wm_compositional/process/migration/immigration	0.51202077	None	None
	226	Then U.S. President Bill Clinton called him one of a "new generation" of leaders who would bring democracy to the continent.	of leaders who would bring democracy to the continent	Interval(70, 123)	wm/concept/causal_factor/social_and_political/political/political_instability	0.7256994	wm_compositional/concept/causal_factor/social_and_political/political/	0.59702873	None	None	None	None
	226	Then U.S. President Bill Clinton called him one of a "new generation" of leaders who would bring democracy to the continent.	democracy	Interval(97, 106)	wm/concept/causal_factor/social_and_political/political/independence	0.7376835	wm_compositional/concept/causal_factor/social_and_political/political/independence	0.7376835	wm_compositional/process/economic/	0.5827796	None	None
