GOLD Annotated?	Index	Sentence	Entity	Character Offsets	Cause/Effect	GOLD Flat Grounding	GOLD Flat Grounding Score	GOLD Concept Grounding	GOLD Concept Score	GOLD Process Grounding	GOLD Process Score	GOLD Property Grounding	GOLD Property Score	Notes	Total annotated:	80
	222	They said that the terrorism trials should be monitored by diplomats due to lack of transparency, noting that the times and locations of the trials have been changed at the last minute.	They said that the terrorism trials should be monitored by diplomats due to lack of transparency,	(0,97)	cause	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7720319	None	None	None	None	None	None			
	222	They said that the terrorism trials should be monitored by diplomats due to lack of transparency, noting that the times and locations of the trials have been changed at the last minute.	They said that the terrorism trials should be monitored by diplomats due to lack of transparency	(0,96)	effect	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7720319	None	None	None	None	None	None			
	223	Two emergency meetings organized by FAO in Rome on 25 July and 18 August helped set the stage for today 's African Union pledging conference , raising international awareness of the importance of not only providing food assistance but also supporting food producers and getting food production in the Horn back up and running as soon as possible .	Two emergency meetings organized by FAO in Rome on 25 July and 18 August	(0,72)	cause	wm/concept/causal_factor/interventions/teaching,_training_and_public_awareness/training_of_community_sourced_emergency_or_temporary_teachers	0.7023229	wm/concept/causal_factor/crisis_and_disaster/crisis/crisis	0.763657	wm/process/evacuation	0.6465521	None	None			
	224	On April 4, senior officials from USAID, other donor agencies, the Intergovernmental Authority on Development, the African Union Commission, African governments, and U.N. agencies announced a new partnership the Global Alliance for Action for Drought Resilience and Growth to strengthen coordination between development partners, increase economic growth, build new partnerships with the private sector, and reduce food insecurity in the Horn of Africa.	Drought	(243,250)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm/concept/causal_factor/environmental/precipitation/drought	1.0000001	wm/process/environment/climate_change	0.56830245	None	None			
	224	On April 4, senior officials from USAID, other donor agencies, the Intergovernmental Authority on Development, the African Union Commission, African governments, and U.N. agencies announced a new partnership the Global Alliance for Action for Drought Resilience and Growth to strengthen coordination between development partners, increase economic growth, build new partnerships with the private sector, and reduce food insecurity in the Horn of Africa.	coordination	(287,299)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/assessment_and_triage_of_health_facilities	0.51178104	wm/concept/causal_factor/intervention/humanitarian assistance	0.52484727	None	None	None	None			
	225	You can imagine, if this much people could cross the border by an individual trafficker; there is no doubt that the regime is making money from that.	the regime	(112,122)	cause	wm/concept/causal_factor/social_and_political/political/political_instability	0.7034188	wm/concept/causal_factor/social_and_political/political/political_instability	0.7105078	None	None	None	None			
	225	You can imagine, if this much people could cross the border by an individual trafficker; there is no doubt that the regime is making money from that.	no doubt that the regime is making money from that	(98,148)	effect	wm/concept/causal_factor/health_and_life/basic_needs	0.76985806	wm/concept/causal_factor/health_and_life/basic_needs	0.578193	wm/process/migration/immigration	0.51202077	None	None			
	226	Then U.S. President Bill Clinton called him one of a "new generation" of leaders who would bring democracy to the continent.	of leaders who would bring democracy to the continent	(70,123)	cause	wm/concept/causal_factor/social_and_political/political/political_instability	0.7256994	wm/concept/causal_factor/social_and_political/political/	0.59702873	None	None	None	None			
	226	Then U.S. President Bill Clinton called him one of a "new generation" of leaders who would bring democracy to the continent.	democracy	(97,106)	effect	wm/concept/causal_factor/social_and_political/political/independence	0.7376835	wm/concept/causal_factor/social_and_political/political/independence	0.7376835	wm/process/economic/	0.5827796	None	None			
	227	In many countries, competitive wages and proximity and access to developed markets provide opportunities for expansion of collaboration with China including relocation of manufacturing industries.	expansion	(109,118)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/development	0.5446463	wm/concept/causal_factor/entity/organization	0.60433716	wm/process/management/development	0.5214423	None	None			
	227	In many countries, competitive wages and proximity and access to developed markets provide opportunities for expansion of collaboration with China including relocation of manufacturing industries.	markets	(75,82)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/	1.0000002	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/	0.8683015	wm/process/economic/	0.6246313	None	None			
	228	Conflicts in parts of Central, East and West Africa continue to severely stress food security conditions and undermine the agriculture sector, while drought in parts of EastAfrican has also intensified food insecurity.	drought	(149,156)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm/concept/causal_factor/environmental/precipitation/drought	1.0000001	wm/process/environment/climate_change	0.56830245	None	None			
	228	Conflicts in parts of Central, East and West Africa continue to severely stress food security conditions and undermine the agriculture sector, while drought in parts of EastAfrican has also intensified food insecurity.	insecurity	(207,217)	effect	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	0.8193162	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/conflict/	0.5429774	wm/property/security	1.0			
	229	Eastern basin ( Benin , Nigeria , Niger , and Chad ) : Staple food market supplies were average in May in the southwestern part of Niger due to the availability of imports from Burkina Faso , Mali , and Benin .	Staple food market supplies	(55,82)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/food_supply	0.90220654	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/	1.0000002	wm/process/economic/	0.5867855	None	None			
	231	Ten aid workers who were on a mission to Twic East at the same time temporarily suspended activities and returned to Juba due to the insecurity .	insecurity	(133,143)	cause	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	0.8193162	wm/concept/causal_factor/social_and_political/physical_insecurity	0.85224354	wm/process/conflict/	0.5429774	wm/property/security	1.0			
	231	Ten aid workers who were on a mission to Twic East at the same time temporarily suspended activities and returned to Juba due to the insecurity .	Ten aid workers who were on a mission to Twic East at the same time temporarily suspended activities and returned to Juba	(0,121)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/legal_aid_for_displaced_persons	0.80386835	None	None	None	None	None	None			
	232	According to unofficial reports, some 50 years ago, Ethiopia aided many Gulf countries in response to the dire poverty they were facing back then.	the dire poverty	(102,118)	cause	wm/concept/causal_factor/economic_and_commerce/poverty	0.8022059	wm/concept/causal_factor/crisis_and_disaster/crisis/economic_crisis/poverty	0.99999994	wm/process/economic/	0.6394978	None	None			
	232	According to unofficial reports, some 50 years ago, Ethiopia aided many Gulf countries in response to the dire poverty they were facing back then.	aided many Gulf countries in response to the dire poverty	(61,118)	effect	wm/concept/causal_factor/economic_and_commerce/poverty	0.7786018	None	None	None	None	None	None			
	233	The camps currently house around 130,000 refugees from Somalia , the majority fleeing the food crisis and conflict .	fleeing	(78,85)	cause	wm/concept/causal_factor/social_and_political/migration/emigration	0.818347	wm/concept/causal_factor/social_and_political/conflict/hostility	0.5308423	wm/process/migration/emigration	0.6008676	None	None			
	233	The camps currently house around 130,000 refugees from Somalia , the majority fleeing the food crisis and conflict .	conflict	(106,114)	effect	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm/process/conflict/	1.0000001	None	None			
	234	According to him, this year's campaign is stronger than what was last year as it focused on intensive development of water wells to cope up with the drought impact across the region.	it focused on intensive development of water wells to cope up with the drought impact across the region	(78,181)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.7722038	wm/concept/causal_factor/entity/organization	0.54487026	wm/process/management/development	0.58213747	None	None			
	234	According to him, this year's campaign is stronger than what was last year as it focused on intensive development of water wells to cope up with the drought impact across the region.	was last year as it focused on intensive development of water wells to cope up with the drought impact across the region	(61,181)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.7963915	wm/concept/causal_factor/time/temporal/season	0.57340115	None	None	None	None			
	235	`` Unfortunately , the cholera epidemic has struck at a time when most Zimbabweans are unable to purchase salt and sugar , '' he said , referring to the country 's severe economic crisis that has caused hyper-inflation and the collapse of health systems .	hyper-inflation	(203,218)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/inflation	0.7722182	None	None	wm/process/economic/devaluation	0.6436519	None	None			
	236	Accordingly, they encouraged the authorities to persevere with policies that safeguard macroeconomic stability, strengthen buffers, and foster private-sector participation in the economy.	policies	(63,71)	cause	wm/concept/causal_factor/social_and_political/government/regulation	0.86624277	wm/concept/causal_factor/social_and_political/government/regulation	0.7569061	wm/process/economic/	0.61538327	None	None			
	236	Accordingly, they encouraged the authorities to persevere with policies that safeguard macroeconomic stability, strengthen buffers, and foster private-sector participation in the economy.	private-sector participation	(143,171)	effect	wm/concept/causal_factor/interventions/institutional_support/	0.42883036	wm/concept/causal_factor/entity/organization	0.6556045	wm/process/economic/competition	0.50237703	None	None			
	237	Our findings also confirm evidence from multiple studies showing that quality of children's diets worsens as food insecurity becomes more severe (Rodriguez, MundoRosas, MendezGomez Humaran, PerezEscamilla, & ShamahLevy, 2017).	food insecurity becomes more severe	(109,144)	cause	wm/concept/causal_factor/crisis_and_disaster/famine	0.86709714	wm/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.5032626	None	None	None	None			
	237	Our findings also confirm evidence from multiple studies showing that quality of children's diets worsens as food insecurity becomes more severe (Rodriguez, MundoRosas, MendezGomez Humaran, PerezEscamilla, & ShamahLevy, 2017).	that quality of children's diets worsens as food insecurity becomes more severe	(65,144)	effect	wm/concept/causal_factor/crisis_and_disaster/famine	0.8557938	None	None	None	None	None	None			
	238	Nevertheless , monthly maize exports to Kenya were still higher at between 20,000 and 40,000 MT a month in the fourth quarter due to abundant supply , and relatively lower prices in Tanzania .	abundant supply	(133,148)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/	0.8253349	wm/concept/causal_factor/intervention/provision of goods and services/provide food	0.61419916	wm/process/management/storage	0.5279406	wm/property/supply	1.0			
	238	Nevertheless , monthly maize exports to Kenya were still higher at between 20,000 and 40,000 MT a month in the fourth quarter due to abundant supply , and relatively lower prices in Tanzania .	monthly maize exports to Kenya	(15,45)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/export/	0.8161009	wm/concept/causal_factor/agriculture/crop	0.76443726	wm/process/economic/export	0.8203816	None	None			
	239	If so , which regions / woredas are at low vs. high risk of experiencing inflation due to a shift in cash transfers ?	shift in cash transfers	(92,115)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.8211952	None	None	wm/process/migration/migration	0.60548115	None	None			
	239	If so , which regions / woredas are at low vs. high risk of experiencing inflation due to a shift in cash transfers ?	experiencing inflation	(60,82)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/inflation	0.7142002	wm/concept/causal_factor/social_and_political/physical_insecurity	0.5760486	None	None	None	None			
	241	Professor Yifru Birhane is a well-known researcher who served in different universities, led different research and study teams, and produced more than 70 researches published in renowned journals, both individually and collectively.	led different research and study teams, and produced more than 70 researches	(89,165)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.7730435	None	None	None	None	None	None			
	241	Professor Yifru Birhane is a well-known researcher who served in different universities, led different research and study teams, and produced more than 70 researches published in renowned journals, both individually and collectively.	more than 70 researches	(142,165)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_health_information_campaign	0.7330765	None	None	None	None	None	None			
	242	Millions have been lifted out of poverty (with China leading the way), and we are hard at work to ensure that all children have access to education, that no woman die while giving birth to life, that the scourges of HIV, tuberculosis and malaria no longer become a death sentence to millions, and that all have access to health care, to water, sanitation and clean energy.	while giving birth to life	(167,193)	cause	wm/concept/causal_factor/health_and_life/	0.79003024	wm/concept/causal_factor/health_and_life/	0.8623625	wm/process/migration/emigration	0.50208694	None	None			
	242	Millions have been lifted out of poverty (with China leading the way), and we are hard at work to ensure that all children have access to education, that no woman die while giving birth to life, that the scourges of HIV, tuberculosis and malaria no longer become a death sentence to millions, and that all have access to health care, to water, sanitation and clean energy.	while giving	(167,179)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_work	0.7052051	wm/concept/causal_factor/health_and_life/	0.8623625	wm/process/migration/emigration	0.50208694	None	None			
	243	Alice Cyusa, the chairperson of Rwanda Diaspora Global Network (RDGN), told The New Times that they had stepped up the fight against genocide ideology and denial, especially in the UK.	The New Times that they had	(76,103)	cause	wm/concept/causal_factor/health_and_life/basic_needs	0.70415574	None	None	None	None	None	None			
	243	Alice Cyusa, the chairperson of Rwanda Diaspora Global Network (RDGN), told The New Times that they had stepped up the fight against genocide ideology and denial, especially in the UK.	the fight against genocide ideology and denial	(115,161)	effect	wm/concept/causal_factor/social_and_political/conflict/hostility	0.79433125	wm/concept/causal_factor/social_and_political/conflict/war	0.7287922	wm/process/conflict/attack	0.5577716	None	None			
	244	LAND will further deepen and broaden the policy , legal , and regulatory framework governing rural land tenure and property rights ( LTPR ) and expand its capacity-building support at all levels of government to ensure sustainability of past USAID investments .	LAND	(0,4)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.7167618	wm/concept/causal_factor/environmental/natural_resources/land	0.8644361	None	None	None	None			
	245	Unfortunately, unknown numbers of Ethiopian manuscripts are lost or destroyed every year due to poverty and regional instability.	to poverty and regional instability	(93,128)	cause	wm/concept/causal_factor/social_and_political/political/political_instability	0.7768311	wm/concept/causal_factor/social_and_political/physical_insecurity	0.7297441	wm/process/conflict/	0.5260135	wm/property/stability	1.0			
	245	Unfortunately, unknown numbers of Ethiopian manuscripts are lost or destroyed every year due to poverty and regional instability.	Unfortunately, unknown numbers of Ethiopian manuscripts are lost or destroyed every year due to poverty and regional instability	(0,128)	effect	wm/concept/causal_factor/social_and_political/conflict/tension	0.78069955	wm/concept/causal_factor/health_and_life/death	0.5405771	None	None	None	None			
	246	However , those investments may help smaller farmers if they finance value chains that integrate those producers or if they invest in financial institutions that operate with farmers and rural people ( Meyer 2011 ) .	investments	(16,27)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.75327	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	0.7058995	wm/process/economic/	0.5903634	None	None			
	246	However , those investments may help smaller farmers if they finance value chains that integrate those producers or if they invest in financial institutions that operate with farmers and rural people ( Meyer 2011 ) .	smaller farmers	(37,52)	effect	wm/concept/causal_factor/interventions/teaching,_training_and_public_awareness/training_of_farmers_on_crop_spacing	0.70949215	wm/concept/causal_factor/agriculture/	0.7141152	wm/process/agriculture/	0.7141152	None	None			
	247	Those developing countries with fewer linkages to private international financial markets , due to capital controls or a lack of interest among private investors , appear to have a larger incidence of fixed pegs .	capital controls	(99,115)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/locust_control_operation	0.7345342	wm/concept/causal_factor/intervention/provision of goods and services/health/vector control	0.6654143	wm/process/economic/	0.5594524	None	None			
	247	Those developing countries with fewer linkages to private international financial markets , due to capital controls or a lack of interest among private investors , appear to have a larger incidence of fixed pegs .	developing countries with fewer linkages to private international financial markets	(6,89)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/labor_market	0.7865663	wm/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.5904772	wm/process/management/development	0.8099768	None	None			
	248	In particular , the arrival of mainly Nuer ethnic , a major source of military and political support to former South Sudan vice president-Riek Machar rebellion , into impoverished and troubled region has increased tension and security concerns among local communities .	tension and security concerns	(214,243)	effect	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	0.70650446	wm/concept/causal_factor/social_and_political/	1.0000002	wm/process/economic/	0.5896913	wm/property/security	1.0			
	249	Deyr rainfall is expected to support average production and normal livestock births and productivity in most areas, though flooding will likely cause crop losses in riverine and lowland areas.	rainfall	(5,13)	cause	wm/concept/causal_factor/environmental/meteorologic/precipitation/rainfall	0.8852216	wm/concept/causal_factor/indicator_and_reported_property/weather/rainfall	1.0000001	wm/process/environment/erosion	0.5368698	None	None			
	249	Deyr rainfall is expected to support average production and normal livestock births and productivity in most areas, though flooding will likely cause crop losses in riverine and lowland areas.	average production	(37,55)	effect	wm/concept/causal_factor/social_and_political/population_group/population_density	0.5889696	None	None	wm/process/management/development	0.5152629	None	None			
	250	The Report makes the case that preventing shocks and promoting opportunities for all - - especially for those most at risk - - can effectively help reduce vulnerabilities and build resilience .	build resilience	(175,191)	effect	wm/concept/causal_factor/interventions/building_construction/	0.71648055	wm/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.5945673	wm/process/management/development	0.5318836	None	None			
	251	蘑 investment in bulk transport and storage facilities, along with grades and standards, would have a significant impact on competitiveness of maize production in Ethiopia.	would have a significant impact on competitiveness of maize production in Ethiopia	(88,170)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/food_demand	0.7740112	wm/concept/causal_factor/health_and_life/basic_needs	0.70415574	wm/process/migration/immigration	0.5360766	None	None			
	251	蘑 investment in bulk transport and storage facilities, along with grades and standards, would have a significant impact on competitiveness of maize production in Ethiopia.	a significant impact on competitiveness of maize production in Ethiopia	(99,170)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/food_demand	0.7432981	wm/concept/causal_factor/economic_and_commerce/economic_activity/	0.6390533	wm/process/economic/	0.6390533	None	None			
	252	The regional Government should facilitate options which enhance access to land such as resettlement, expansion of soil and water conservation practice on farmlands and reclamation of degraded land to bring into production.	options which enhance access	(42,70)	cause	wm/concept/causal_factor/access/	0.8118494	wm/concept/causal_factor/intervention/provision of goods and services/provide cash	0.5624738	wm/process/access/access	0.55066127	None	None			
	252	The regional Government should facilitate options which enhance access to land such as resettlement, expansion of soil and water conservation practice on farmlands and reclamation of degraded land to bring into production.	access	(64,70)	effect	wm/concept/causal_factor/access/	0.9999998	wm/concept/causal_factor/social_and_political/humanitarian/basic_services	0.5957159	wm/process/access/	0.9999998	None	None			
	253	The Ethiopian government said it is doing its level best for the safe return of Ethiopians living in Libya, in spite of the difficult circumstances due to the crisis in that country.	to the crisis in that country	(152,181)	cause	wm/concept/causal_factor/crisis_and_disaster/economic/economic_crisis	0.81886566	wm/concept/causal_factor/crisis_and_disaster/crisis/	0.99999994	wm/process/economic/	0.7357197	None	None			
	253	The Ethiopian government said it is doing its level best for the safe return of Ethiopians living in Libya, in spite of the difficult circumstances due to the crisis in that country.	the difficult circumstances due to the crisis in that country	(120,181)	effect	wm/concept/causal_factor/social_and_political/conflict/tension	0.803232	wm/concept/causal_factor/social_and_political/physical_insecurity	0.5760937	wm/process/agriculture/failure	0.55465454	None	None			
	254	An increase in the agricultural workload of pregnant women is known to increase the risk of preterm birth , and researchers have suggested that bending and standing exacerbate this risk ( Owens et al. 2015 ) .	increase in the agricultural workload of pregnant women is known	(3,67)	cause	wm/concept/causal_factor/health_and_life/basic_needs	0.75680375	None	None	None	None	None	None			
	254	An increase in the agricultural workload of pregnant women is known to increase the risk of preterm birth , and researchers have suggested that bending and standing exacerbate this risk ( Owens et al. 2015 ) .	risk of preterm birth	(84,105)	effect	wm/concept/causal_factor/health_and_life/birth	0.80383945	wm/concept/causal_factor/health_and_life/birth	1.0000002	wm/process/agriculture/failure	0.56929433	None	None			
	255	The next round of peace talks should be out of Ethiopia and Sudan should be excluded from being a mediator, since it controls, trains and arms the rebels, Pitia was quoted saying.	it controls, trains and arms the rebels	(114,153)	cause	wm/concept/causal_factor/interventions/teaching,_training_and_public_awareness/training_of_farmers_on_weed_control	0.74247384	None	None	None	None	None	None			
	255	The next round of peace talks should be out of Ethiopia and Sudan should be excluded from being a mediator, since it controls, trains and arms the rebels, Pitia was quoted saying.	since it controls, trains and arms the rebels, Pitia was quoted saying	(108,178)	effect	wm/concept/causal_factor/interventions/teaching,_training_and_public_awareness/training_of_farmers_on_weed_control	0.7281263	None	None	None	None	None	None			
	256	The UAE and the Republic of Ethiopia have stressed their quest to establish vigourous joint investment projects in Ethiopia in the sectors of industry, agriculture, food processing, tourism, renewable energy and mining.	agriculture, food processing, tourism, renewable energy	(152,207)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/food_supply	0.7879979	wm/concept/causal_factor/infrastructure/electrical	0.78012383	wm/process/economic/consumption	0.5465106	None	None			
	256	The UAE and the Republic of Ethiopia have stressed their quest to establish vigourous joint investment projects in Ethiopia in the sectors of industry, agriculture, food processing, tourism, renewable energy and mining.	food processing	(165,180)	effect	wm/concept/causal_factor/food_security/food_production	0.8317175	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/	0.67618036	None	None			
	257	My movement is very limited because of the security problem.	of the security problem	(36,59)	cause	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7371485	wm/concept/causal_factor/social_and_political/	1.0000002	wm/process/agriculture/failure	0.56766856	wm/property/security	1.0			
	257	My movement is very limited because of the security problem.	My movement is very limited because of the security problem.	(0,60)	effect	wm/concept/causal_factor/health_and_life/basic_needs	0.7782056	wm/concept/causal_factor/social_and_political/humanitarian/basic_services	0.5461777	wm/process/access/access	0.54463196	None	None			
	258	The African Union (AU) and the international community have also warned the two South Sudanese leaders with sanctions if they failed to strike a final peace deal.	strike	(136,142)	cause	wm/concept/causal_factor/social_and_political/conflict/strike	0.7101248	wm/concept/causal_factor/social_and_political/conflict/war	0.7089357	wm/process/conflict/strike	0.9999996	None	None			
	258	The African Union (AU) and the international community have also warned the two South Sudanese leaders with sanctions if they failed to strike a final peace deal.	sanctions	(108,117)	effect	wm/concept/causal_factor/social_and_political/political/sanction	0.94806606	wm/concept/causal_factor/social_and_political/political/sanction	0.729705	None	None	None	None			
	259	These places were chosen because they have remarkable symbols on tracing ancient Christianity.	These places were chosen because they have remarkable symbols on tracing ancient Christianity.	(0,94)	cause	wm/concept/causal_factor/interventions/building_construction/creation_of_temporary_water_points	0.7073412	wm/concept/causal_factor/entity/person_and_group/	0.5021158	None	None	None	None			
	259	These places were chosen because they have remarkable symbols on tracing ancient Christianity.	These places were chosen because they have remarkable symbols on tracing ancient Christianity	(0,93)	effect	wm/concept/causal_factor/interventions/building_construction/creation_of_temporary_water_points	0.7073412	wm/concept/causal_factor/entity/person_and_group/	0.5021158	None	None	None	None			
	260	In the Dominican Republic, retail prices of red and black beans followed mixed trends in november but both types remained some 40 percent above their levels a year earlier following a decline in production as a result of drought-reduced plantings and yields, and import volumes that have not entirely covered domestic demand.	retail prices	(27,40)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	0.8356478	wm/concept/causal_factor/agriculture/crop	0.7555514	None	None	wm/property/price	1.0			
	260	In the Dominican Republic, retail prices of red and black beans followed mixed trends in november but both types remained some 40 percent above their levels a year earlier following a decline in production as a result of drought-reduced plantings and yields, and import volumes that have not entirely covered domestic demand.	mixed trends	(73,85)	effect	wm/concept/causal_factor/trend	0.6480473	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/	0.572053	wm/process/economic/	0.5206928	wm/property/trend	1.0			
	261	Civil conflicts continued to severely affect the food security of a number of countries, while adverse weather, in some cases linked to ElNi?o, curbed production in others, constraining food access and pushing consumer prices up.	adverse weather	(95,110)	cause	wm/concept/causal_factor/environmental/meteorologic/weather	0.7677216	wm/concept/causal_factor/indicator_and_reported_property/weather/	1.0000001	None	None	None	None			
	261	Civil conflicts continued to severely affect the food security of a number of countries, while adverse weather, in some cases linked to ElNi?o, curbed production in others, constraining food access and pushing consumer prices up.	production	(151,161)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/food_demand	0.59185314	None	None	wm/process/management/development	0.5152629	None	None			
	262	Two other Germans, two Austrians and a Hungarian national were killed in a gun battle between the rebels and government forces escorting the tourist group.	battle	(79,85)	cause	wm/concept/causal_factor/social_and_political/conflict/attack	0.7385301	wm/concept/causal_factor/social_and_political/conflict/war	0.69815236	wm/process/conflict/attack	0.572159	None	None			
	262	Two other Germans, two Austrians and a Hungarian national were killed in a gun battle between the rebels and government forces escorting the tourist group.	killed	(63,69)	effect	wm/concept/causal_factor/social_and_political/conflict/attack	0.6860429	wm/concept/causal_factor/social_and_political/conflict/war	0.5853507	wm/process/conflict/attack	0.5902994	None	None			
	263	Somalia's hardline Shebab militia fighting to topple the Western-backed government of President Sharif Sheikh Ahmed demonstrated their new regional dimension when they claimed July 11 bombings in Kampala that killed 76 people.	11 bombings	(181,192)	cause	wm/concept/causal_factor/social_and_political/conflict/terrorism	0.8026286	wm/concept/causal_factor/social_and_political/conflict/terrorism	0.64291996	None	None	None	None			
	263	Somalia's hardline Shebab militia fighting to topple the Western-backed government of President Sharif Sheikh Ahmed demonstrated their new regional dimension when they claimed July 11 bombings in Kampala that killed 76 people.	killed	(209,215)	effect	wm/concept/causal_factor/social_and_political/conflict/attack	0.6860429	wm/concept/causal_factor/social_and_political/conflict/war	0.5853507	wm/process/conflict/attack	0.5902994	None	None			
	264	Regional staple food availability was adequate in October due to the availability of local remaining stocks from the previous production year , as well as regional and international trade flows ( Figure 4 ) .	availability of local remaining stocks from the previous production year	(69,141)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/labor_market	0.7024967	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/access/access	0.80709136	None	None			
	264	Regional staple food availability was adequate in October due to the availability of local remaining stocks from the previous production year , as well as regional and international trade flows ( Figure 4 ) .	Regional staple food availability	(0,33)	effect	wm/concept/causal_factor/food_security/food_availability	0.8627463	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/access/access	0.80709136	None	None			
	265	South Sudan, which gained independence from Sudan four years ago now stands on the verge of becoming a broken state, aid agencies have warned.	aid agencies	(117,129)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/legal_aid_for_displaced_persons	0.7752884	wm/concept/causal_factor/intervention/humanitarian assistance	0.7800777	None	None	None	None			
	265	South Sudan, which gained independence from Sudan four years ago now stands on the verge of becoming a broken state, aid agencies have warned.	a broken state, aid agencies have warned	(101,141)	effect	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.79755664	wm/concept/causal_factor/social_and_political/government/	0.5352889	None	None	None	None			
	266	There are reports that drought-related diseases such as cholera, measles and meningitis are spreading fast.	drought-related diseases such as cholera, measles and meningitis	(23,87)	cause	wm/concept/causal_factor/health_and_life/disease/human_disease	0.9262397	wm/concept/causal_factor/health_and_life/disease/	0.90198445	None	None	None	None			
	266	There are reports that drought-related diseases such as cholera, measles and meningitis are spreading fast.	reports that drought-related diseases such as cholera, measles and meningitis are spreading fast	(10,106)	effect	wm/concept/causal_factor/health_and_life/disease/human_disease	0.8667005	wm/concept/causal_factor/indicator_and_reported_property/	0.6178373	None	None	None	None			
	267	Cooperation between the two countries fosters confidence and promotes cooperation in exchange of data as this builds our capacities through experience sharing, Motuma added.	this builds our capacities through experience sharing	(105,158)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/child_friendly_learning_spaces	0.7434678	None	None	None	None	None	None			
	267	Cooperation between the two countries fosters confidence and promotes cooperation in exchange of data as this builds our capacities through experience sharing, Motuma added.	Cooperation between the two countries fosters confidence and promotes cooperation in exchange of data as this builds our capacities through experience sharing	(0,158)	effect	wm/concept/causal_factor/interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.7889723	None	None	None	None	None	None			
	268	Crop and vegetable seed interventions in the most nutritionally vulnerable districts, benefiting 168 000 households as of October 2016.	vulnerable districts, benefiting 168 000 households as of October 2016	(64,134)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income	0.7386087	None	None	None	None	None	None			
	268	Crop and vegetable seed interventions in the most nutritionally vulnerable districts, benefiting 168 000 households as of October 2016.	168 000 households	(97,115)	effect	wm/concept/causal_factor/food_security/household_food_storage	0.7706331	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue	0.54187465	None	None	None	None			
