 	UUID	SUBJ_GROUNDING	SUBJ_GROUNDING_SCORE	SUBJ_TEXT	SUBJ_INTERVENTION	SUBJ_MENTION_INCORRECT	SUBJ_GROUNDING_CORRECT	9	OBJ_GROUNDING	OBJ_GROUNDING_SCORE	OBJ_TEXT	OBJ_INTERVENTION	OBJ_MENTION_INCORRECT	OBJ_GROUNDING_CORRECT	CORRECT_OBJ_GROUNDING	CURATOR	READER	TEXT
726	04382042-fe1d-4b80-8565-1c2365f379d9	economic_and_commerce/economic_activity/market/inflation	0.903	inflation	0				crisis_and_disaster/famine	0.746	chronic food insecurity and water shortages in regions of Ethiopia, including Somali Region and parts of Afar, Amhara, Oromiya, Tigray, and Southern Nations, Nationalities, and Peoples (SNNP) regions	0					eidos	Successive seasons of failed rains , a rapidly growing population , increased inflation , endemic poverty , and limited government capacity have led to chronic food insecurity and water shortages in regions of Ethiopia , including Somali Region and parts of Afar , Amhara , Oromiya , Tigray , and Southern Nations , Nationalities , and Peoples ( SNNP ) regions .
727	5920e1bd-5756-4237-a15d-a7640fcf62f1	health_and_life/basic_needs	0.788	source close to the rebels told Sudan Tribune on Thursday evening that Uganda's military intervention in South Sudan is also likely	0				interventions/peacekeeping_and_security/conflict_mediation_and_political_dialogue	0.723	peace process	1					eidos	A source close to the rebels told Sudan Tribune on Thursday evening that Uganda 's military intervention in South Sudan is also likely to slow the peace process .
749	387eb94e-387d-4456-93bf-9e5eda0fdd22	access/infrastructure_access/road_access	0.731	Getachew Meskir, a local taxi driver in Addis Ababa, complains about the heavy city traffic and says he hopes	0				economic_and_commerce/economic_activity/market/price_or_cost/cost_of_transportation	0.781	costs	0					eidos	Getachew Meskir , a local taxi driver in Addis Ababa , complains about the heavy city traffic and says he hopes new public transportation facilities will save him costs .
751	19d7242f-6fa7-4fe5-8be5-3bee6d2cf377	interventions/provision_of_goods_and_services/psychological_support	0.759	inability to provide $2 billion	1				interventions/construction_of_infrastructure/building_long_term_roads	0.702	construction of the Gilgel Gibe III dam, which was started in 2006, is yet to be finished	1					eidos	While the construction of the Gilgel Gibe III dam , which was started in 2006 , is yet to be finished because of the inability to provide $ 2 billion , and the reluctance of international financial institutions to fund water dams because they are not economically viable.Additionally , Sudan will also come out as a winner since it does not have to worry about a possible catastrophic collapse of the Renaissance dam , besides strengthening ties with Egypt and Ethiopia and benefiting from that as a support during its strained relations with South Sudan .
751	19d7242f-6fa7-4fe5-8be5-3bee6d2cf377	interventions/provision_of_goods_and_services/psychological_support	0.759	inability to provide $2 billion	1				interventions/construction_of_infrastructure/building_long_term_roads	0.702	construction of the Gilgel Gibe III dam, which was started in 2006, is yet to be finished	1					eidos	While the construction of the Gilgel Gibe III dam , which was started in 2006 , is yet to be finished because of the inability to provide $ 2 billion , and the reluctance of international financial institutions to fund water dams because they are not economically viable.Additionally , Sudan will also come out as a winner since it does not have to worry about a possible catastrophic collapse of the Renaissance dam , besides strengthening ties with Egypt and Ethiopia and benefiting from that as a support during its strained relations with South Sudan .
777	cc677287-f633-4e5d-9f79-e2d44acf0c6c	interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.786	only a small share of the countrys land potential	1				economic_and_commerce/economic_activity/market/assets	0.702	investments	0					eidos	Although the government increased investments in the expansion of land under irrigation , to date only a small share of the country ' s land potential has been tapped .
782	b6836324-5162-4bc4-b9ee-44f3a964fb4b	agriculture/livestock_production	0.747	heat stress to livestock	0				agriculture/livestock_disease	0.795	mortality rate of herds, susceptibility of livestock to disease and emaciation	0					eidos	This has , in turn , increased the mortality rate of herds , susceptibility of livestock to disease and emaciation as a result of the long distances they travel in search of pasture and water ( Muluneh & Demeke , 2011 ) .
782	b6836324-5162-4bc4-b9ee-44f3a964fb4b	agriculture/livestock_production	0.747	heat stress to livestock	0				agriculture/livestock_disease	0.795	mortality rate of herds, susceptibility of livestock to disease and emaciation	0					eidos	This has , in turn , increased the mortality rate of herds , susceptibility of livestock to disease and emaciation as a result of the long distances they travel in search of pasture and water ( Muluneh & Demeke , 2011 ) .
795	c416d5c4-93e1-4e00-b67d-1d964669d598	health_and_life/nutrition/food_intake	1	food	0				interventions/provision_of_goods_and_services/infant_and_young_child_feeding_support	0.72	When children are facing famine, because crops have failed	1					eidos	David Bull , UNICEF UK 's executive director , said : '' When children are facing famine , because crops have failed , because food is scarce , it 's time to share a little of what we've got .
808	6295e166-eb48-4cbc-9d34-3b3943a1b8cc	environmental/natural_resources	0.834	Africa's heavy dependence on natural resources and agriculture	0				environmental/climate_change_mitigation	0.864	repercussions of climate change here	0					eidos	Because of Africa 's heavy dependence on natural resources and agriculture , and because of limited capacities in many African communities , the repercussions of climate change here are particularly ominous .
821	fc6973e0-377e-48c5-afdf-7cdaa6cb579f	social_and_political/government	0.826	government	0				interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.737	play its role of identifying, attracting and supporting the type of foreign direct investors	1					eidos	Furthermore the government should strengthen the South Sudan Investment Authority ( SSIA ) , enabling it play its role of identifying , attracting and supporting the type of foreign direct investors whose commercial interests are aligned with the strategies outlined in this Report .
823	faf9af23-7559-4e0c-ac14-37bbaa228b81	social_and_political/government	0.814	government	0				interventions/provision_of_goods_and_services/provision_of_seeds	0.823	countrys seed certification capabilities	1					eidos	The government also needs to take measures to improve seed quality and increase the country ' s seed certification capabilities , as well as to streamline the processes of seed testing , certification , and multiplication .
827	641be3fd-c4a6-4576-a355-76d78dd7d677	economic_and_commerce/economic_activity/market/labor_market	0.708	visiting Tsehay real estate apartments, being underway with 3.5 billion Birr in Addis Ababa by Chinese investors, the President said	0				social_and_political/government	0.74	government's efforts to improve housing condition and style	0					eidos	After visiting Tsehay real estate apartments , being underway with 3.5 billion Birr in Addis Ababa by Chinese investors , the President said the investment will help the government 's efforts to improve housing condition and style .
827	641be3fd-c4a6-4576-a355-76d78dd7d677	economic_and_commerce/economic_activity/market/labor_market	0.708	visiting Tsehay real estate apartments, being underway with 3.5 billion Birr in Addis Ababa by Chinese investors, the President said	0				social_and_political/government	0.74	government's efforts to improve housing condition and style	0					eidos	After visiting Tsehay real estate apartments , being underway with 3.5 billion Birr in Addis Ababa by Chinese investors , the President said the investment will help the government 's efforts to improve housing condition and style .
833	e8f96864-37e7-491f-82c7-00048f814ab9	social_and_political/political/sanction	0.79	the Saudi -led intervention	0				social_and_political/conflict/attack	0.787	killed	0					hume	More than 6,800 people have been killed since the Saudi-led intervention began, almost two-thirds of them civilians, the United Nations says.
834	df13173c-2e7f-4d63-a599-3bd52e304ba7	interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.808	poor animal husbandry, poor recovery of hides and skins and low off-take rates, the potential output is not fully realized	1				interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.807	poor animal husbandry, poor recovery of hides and skins and low off-take rates, the potential output is not fully realized	1					eidos	However , due to poor animal husbandry , poor recovery of hides and skins and low off-take rates , the potential output is not fully realized .
834	df13173c-2e7f-4d63-a599-3bd52e304ba7	interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.808	poor animal husbandry, poor recovery of hides and skins and low off-take rates, the potential output is not fully realized	1				interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.807	poor animal husbandry, poor recovery of hides and skins and low off-take rates, the potential output is not fully realized	1					eidos	However , due to poor animal husbandry , poor recovery of hides and skins and low off-take rates , the potential output is not fully realized .
845	4ceeca9c-8090-48e2-90f8-d67678cbcf99	economic_and_commerce/economic_activity/cross_border_trade/import	0.801	significant dependence on imports	0				crisis_and_disaster/economic/economic_crisis	0.882	South Sudans economic crisis	0					eidos	South Sudan ' s economic crisis has been driven by the rapidly depreciating value of the South Sudanese Pound ( SSP ) , shortages of hard currency , global declines in oil prices and significant dependence on imports .
849	866e794b-b654-456c-b7af-6a7122484c63	access/infrastructure_access/electrical	0.724	location and properties of renewable energy endowments (reliability and quantity of sun and wind)	0				access/infrastructure_access/electrical	0.722	location of grid-scale solar or wind systems	0					eidos	Likewise , the location of grid-scale solar or wind systems will be driven at least in part by the location and properties of renewable energy endowments ( reliability and quantity of sun and wind ) .
854	b21aa05f-34b4-4355-964e-b78aad40a5da	crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.716	El Nino, which fizzled out around May, brought drought to many areas and excess rain to others, hurting harvests	0				health_and_life/nutrition/food_intake	1	food shortages	0					eidos	The El Nino , which fizzled out around May , brought drought to many areas and excess rain to others , hurting harvests and causing food shortages .
864	5165a539-5e61-4be2-966e-3b1e070f7ca2	interventions/provision_of_goods_and_services/cash_transfer	0.75	finance experts, who made presentations at the second annual finance summit held from December 19-20 at the UNECA, disclosed	1				economic_and_commerce/economic_activity/market/labor_market	0.732	local companies	0					eidos	The finance experts , who made presentations at the second annual finance summit held from December 19-20 at the UNECA , disclosed that the establishment of a stock market would enable local companies to raise investment capital , make huge investments and create job opportunities .
903	b9868199-7784-432b-96ed-58721bac2db2	interventions/provision_of_goods_and_services/public_health_information_campaign	0.748	WIC [Walta Information Centre], Ambassador Berhane said	1				trend	0.755	country's global status to increase	0					eidos	In an exclusive interview he held with WIC [ Walta Information Centre ] , Ambassador Berhane said that the existing favourable foreign policy , peacekeeping mission and ongoing fast economic growth helped the country 's global status to increase .
903	b9868199-7784-432b-96ed-58721bac2db2	interventions/provision_of_goods_and_services/public_health_information_campaign	0.748	WIC [Walta Information Centre], Ambassador Berhane said	1				trend	0.755	country's global status to increase	0					eidos	In an exclusive interview he held with WIC [ Walta Information Centre ] , Ambassador Berhane said that the existing favourable foreign policy , peacekeeping mission and ongoing fast economic growth helped the country 's global status to increase .
906	908eb9c9-8e10-4c9e-aac8-8770de0c2489	interventions/provision_of_goods_and_services/communicable_disease_outbreak_control	0.801	other challengesincluding seasonal flooding, localized intercommunal conflict, above-average food prices, disease outbreaks, and limited access to health and WASH services	1				interventions/provision_of_goods_and_services/assessment_and_triage_of_health_facilities	0.713	ongoing complex emergency in Ethiopia	1					eidos	While drought remains a major contributor to vulnerability in Ethiopia , negatively affecting the lives and livelihoods of farmers and pastoralists , populations also continue to confront other challenges -- including seasonal flooding , localized intercommunal conflict , above-average food prices , disease outbreaks , and limited access to health and WASH services -- that contribute to sustained humanitarian needs and an ongoing complex emergency in Ethiopia .
918	652a892b-7087-4883-8b23-792abe2a337c	interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.726	transfer	1				economic_and_commerce/economic_activity/market/revenue/household_income	0.844	use of womens income	0					eidos	One of the key outcomes was the effect of the transfer on decisions regarding the use of women ' s income due to the transfer .
919	0529b7b4-f223-4437-93e1-185f7f6f7b8a	economic_and_commerce/economic_activity/development	0.794	strides in Ethiopia's hydropower development over the last decade	0				access/water_access	0.823	annual average water storage	0					eidos	According to the World Water Council ( WWC ) , an international think tank for world water management , strides in Ethiopia 's hydropower development over the last decade have increased the annual average water storage per person from 40 cubic metres to 240 .
924	9d03e132-ec4d-4cf2-91a3-186280c22ec4	interventions/provision_of_goods_and_services/newborn_and_childhood_essential_health_care_services	0.863	work plan focuses on both immediate and long-term interventions and involves increasing demand, access and utilization of quality maternal and newborn health services	1				social_and_political/basic_services	0.872	quality of these services	0					eidos	The work plan focuses on both immediate and long-term interventions and involves increasing demand , access and utilization of quality maternal and newborn health services , as well as improving the quality of these services .
925	b0323181-c5f6-4927-a140-b62ecccf2643	economic_and_commerce/economic_activity/market/assets	0.779	assets store wealth	0				interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.816	can be used as collateral to improve access to financial services, or can be used to mitigate impacts of sudden shocks	1					eidos	Because assets store wealth , can be used as collateral to improve access to financial services , or can be used to mitigate impacts of sudden shocks , they are critical to a person ' s wellbeing and pathway out of poverty ( Haddad , Hoddinott , and Alderman 1997 ; Behrman et al. 2012 ) .
929	bf5e8ad9-59eb-4112-8a0a-d551e0ee4a08	economic_and_commerce/economic_activity/development	0.725	will have a significant contribution to the country's economic development	0				economic_and_commerce/economic_activity/competition	0.772	competitiveness of industries in Ethiopia	0					eidos	This will improve the competitiveness of industries in Ethiopia , '' he noted .
955	5ec1a5be-eb80-4e5b-bc53-a6c7b0f7c135	economic_and_commerce/economic_activity/cross_border_trade/import/food_import	0.756	import of frozen chicken	0				economic_and_commerce/economic_activity/cross_border_trade/import/food_import	0.772	African country, which he did not name, whose domestic chicken market	0					eidos	He spoke of an African country , which he did not name , whose domestic chicken market was dying because of the import of frozen chicken .
961	b07390c5-f6b8-4f1e-b762-82c9bc17b152	health_and_life/basic_needs	0.728	needs assessment method used	0				interventions/information_services/food_security_or_famine_early_warning_system	0.71	theoretically meaning that responses can prevent malnutrition, rather than reacting to it (when arguably it is already too late)	1					eidos	This is counter-productive as the needs assessment method used allows for prediction - theoretically meaning that responses can prevent malnutrition , rather than reacting to it ( when arguably it is already too late ) .
966	a30edeb2-f19c-41d3-af8b-178e35fddc6a	interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.708	large volumes of exports and institutional purchases by the Food Reserve Agency (completed in October)	1				economic_and_commerce/economic_activity/market/price_or_cost/crop_price	0.713	sharp price rises	0					eidos	However , in October 2015 , large volumes of exports and institutional purchases by the Food Reserve Agency ( completed in October ) , led to sharp price rises .
969	027e6b41-6ed8-463e-ae97-2df67f723c5d	social_and_political/conflict/hostility	0.878	violence	0				economic_and_commerce/economic_activity/market/demand/food_demand	0.798	markets, transportation and commodity flows and restricted trade movements hinterland, has sustained rising prices of food	0					eidos	However , the fighting , violence and insecurity in many counties in addition to seasonal rains that have made most roads impassable , disrupted markets , transportation and commodity flows and restricted trade movements hinterland , has sustained rising prices of food .
979	2adeeb3e-c9c5-4247-9c7a-ecfd4232ac31	interventions/construction_of_infrastructure	0.867	Damaged infrastructure	1				food_security	0.916	needs across sectors including health, education, livelihoods, food security Returnees and IDPs High numbers of IDPs	0					eidos	Damaged infrastructure caused by ongoing conflict has compounded needs across sectors including health , education , livelihoods , food security Returnees and IDPs High numbers of IDPs and the steady flow of returnees continue to strain resources .
988	b953eb7f-4c5f-4edc-8c26-aeaa9dc0c630	crisis_and_disaster/environmental_disasters/crop_failure	0.869	early signs of potential crop failures, drought, rising food prices, and other factors	0				health_and_life/nutrition/food_intake	1	food shortages	0					eidos	The International Center for Tropical Agriculture ( CIAT ) is applying machine-learning technology to search for early signs of potential crop failures , drought , rising food prices , and other factors that can trigger food shortages .
997	ce110896-c0c6-4647-a226-4e5c3ce5fda7	economic_and_commerce/economic_activity/market/labor_market	0.732	GRAD partners, given the constraints of the 20152016 drought, influenced households	0				economic_and_commerce/economic_activity/market/revenue/farmer_income	0.866	incomes	0					eidos	GRAD partners , given the constraints of the 2015 - 2016 drought , influenced households to increase their incomes and safety nets through improved access to savings and credit , improved income generating opportunities , and improved agricultural techniques .
